,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
NO.6609,2.3,4.3,6.3,8.8,12.2,15.6,18,20,20.6,20.9,21.2,21.3,21.7,22,22.9,23.4,23.8,24.3,24.8,25.4,25.6,26,26.4,26.9
NO.6611,7.5,11,16.4,18.3,25.5,27.5,30.3,31.9,33.2,34,34.1,34.5,34.7,34.9,35.2,35.3,35.5,35.7,36.1,36.5,36.7,36.8,37.1,37.3
NO.6612,3.2,6.3,9.1,13.2,18,22.6,26,28.6,29.1,29.7,30.3,30.8,31.5,32.2,32.6,33.1,33.7,34.5,35.4,36.3,36.7,37.4,38.4,38.9
NO.6613,1.9,3.5,6.8,11.3,16.1,20.1,23.3,25.5,25.9,26.4,26.6,26.9,27.3,27.8,28.2,28.4,28.9,29.7,30.6,31.3,31.6,32.1,32.9,33.1
NO.6614,2.2,4.8,7.5,10.3,14.3,19.4,20.9,22.6,23.7,24.6,25.3,25.9,26.2,27.1,27.5,28.5,28.8,29.9,30.6,31.3,31.8,32.6,33.5,34.1
NO.6617,2.8,3.9,4.9,6.8,8.3,10,12,13.1,16.1,17.5,18.3,18.6,18.9,19.3,19.9,20.4,20.8,21.1,21.8,22.7,23.1,23.7,24.5,25.1
NO.6618,3.2,4.8,7.5,11.8,16.2,19.8,22.1,23.2,23.8,24.3,24.6,24.9,25.2,25.5,26.1,26.6,27,27.8,28.4,29.1,29.5,30.1,30.8,31.3
NO.6619,2.3,4.4,6.2,9.3,13.3,16.9,19.4,21.1,21.5,22,22.1,22.3,22.5,22.9,23.2,23.4,23.6,24,24.4,24.8,25,25.3,25.6,26
NO.6620,3.2,5.7,8.1,11.8,15.7,19.4,22.4,25,26.1,27.2,27.8,28.3,28.5,29.8,30.7,31.3,32.1,33.9,35.4,36.1,36.6,37.4,38.5,39.2
NO.6621,3,5.8,8.3,12.2,16.4,20.2,23.3,25.8,26.6,27.3,27.8,28.2,28.5,28.9,29.5,29.9,30.5,31.7,33,34,34.6,35.1,36.1,36.6
NO.6622,3.7,5.5,8.7,10.4,11.9,15.1,17.8,19.8,20.6,20.9,21.2,21.4,21.4,21.8,22.5,22.7,22.9,23.5,24.1,24.6,24.9,25.2,25.4,25.9
NO.6623,3.3,5.6,7.4,10.7,15.1,19.4,22.7,25.2,26.1,26.6,27,27.5,28,28.7,29.7,30.6,32.1,33.5,34.3,35.2,35.8,36.5,37.3,37.8
NO.6625,1.9,4.8,8.9,13.2,16.6,19.5,21.8,22.9,23.9,24.4,24.7,25.1,25.3,25.7,26.2,26.6,27.3,28.5,29.7,30.7,31.1,32.1,33.3,34
NO.6627,2,3.3,4.3,6.8,9.5,11.5,13,15,15.8,16,16.6,16.9,17.1,17.9,18.5,19.6,20.2,21.4,22.3,23.4,23.9,24.8,25.9,26.5
NO.6629,2.7,4.8,7.8,9.5,11.6,14.9,17.3,19.2,19.7,20.2,20.5,20.8,21.2,21.9,22.6,22.8,23.1,23.9,24.3,24.6,24.9,25.1,25.4,25.6
NO.6630,3.7,6,9.8,14.4,17.2,18.3,20.4,22.4,23.4,24.2,24.7,25.2,25.5,25.9,26.5,27.2,28,29.3,30.7,32,32.9,33.9,35.6,36.5
NO.6631,3.4,5.5,7.6,10.4,14.3,18,21.3,24.4,25.4,26.3,26.6,27.4,27.8,28.8,29.7,30.2,30.9,32.4,33.3,34.2,34.6,35.4,36.3,36.8
NO.6634,7.8,17.2,21.2,23.2,23.6,24,24.4,24.6,24.8,25.2,25.4,25.8,26,26.3,26.8,27.3,28,28.7,29.4,30.2,30.7,31.4,32.2,32.7
NO.6636,1.9,2.9,3.4,7,11.1,14.4,15.6,16.4,16.8,17.7,18.1,19.8,20.7,21.9,23.2,23.8,24.8,26.9,28.6,29.8,30.5,31.4,33,34.2
NO.6638,4.6,5.7,6.5,8.6,12.5,16.1,19.5,22,22.7,23.6,24.1,24.7,25.2,25.6,26.3,26.6,28.3,29.9,31.4,32.6,33.3,34.3,35.8,36.5
NO.6640,2.6,3.6,4.8,7.3,11.2,15.2,18.5,21.7,23.1,24,24.6,25.1,25.4,25.8,26.6,27.7,28.2,29.3,30.5,31.6,32.3,33.4,34.8,35.8
NO.6644,2.1,3.5,4.6,6.7,9.5,12.3,15.2,17.1,17.8,18.2,18.6,19.2,20.1,20.9,21.3,21.6,22.1,22.9,24.3,25.4,26,26.6,27.6,28.1
NO.6645,3.1,4.7,6,8.8,11.5,15,16.5,18,18.9,19.3,19.9,20.8,21.9,22.3,22.9,24.1,25.2,25.8,27.3,28.2,29.1,29.7,30.2,31.3
NO.6647,2.5,5.3,6.6,8.9,10.2,13.4,16.7,19.9,20.7,21.4,21.7,22,22.5,23.4,23.8,25.1,26,27.4,28.7,29.9,30.7,31.9,33.2,34.1
NO.6648,2.7,4.5,7,8.8,10,13.3,14.7,15.9,17.4,19.4,20.1,20.4,20.6,20.8,21.3,21.6,22.3,23.4,24.7,25.8,26.6,27.7,28.9,29.5
NO.6652,1.1,3.1,5.8,7.9,9,10.8,12,13.6,14.6,14.8,15.2,15.5,15.8,16.6,17.6,18.1,18.9,20.1,21.2,22.3,22.8,23.4,24.1,24.6
NO.6653,4.3,6.2,9.2,14,18.2,22,25.6,26.6,27.5,27.8,28.2,29.1,30,31.3,32,33.2,34.1,36.1,38.1,39.7,40.5,41.6,42.6,43.2
NO.6654,1.4,3,5.3,8,11,11.9,13.8,14.9,15.5,15.7,15.9,16.3,16.6,16.8,17.5,17.9,18.4,19.3,20.1,21.1,21.8,22.4,23.1,23.6
NO.6655,2.8,4.3,6.5,8.8,11.5,14.1,17.1,18.6,20.3,21.1,21.8,22.4,22.9,23.8,24.8,25.1,25.8,27.5,28.9,29.9,30.6,31.4,32.5,33.5
NO.6657,2,4.5,7.4,10.1,13.7,17.3,18.6,19.6,20,20.5,21.1,21.8,22.5,23.1,24.3,25,26.3,27.8,29,30.6,31.4,32.4,33.5,34.2
NO.6659,2.1,3.2,5.3,7.3,10.3,12.9,14.2,15.1,15.5,15.7,16.1,16.3,17.4,18,18.8,20.1,20.9,22.1,23.5,24.4,24.9,25.5,26.4,27.2
NO.6663,2.8,6.5,10.6,13.7,16.8,19.4,19.9,20.5,20.9,21.5,22.1,22.7,23.2,24.6,25.7,26.1,26.8,28.3,29.6,30.8,31.4,32,32.8,33.4
NO.6665,4.65,6.85,10,13.65,14.9,15.95,17.85,18.95,19.6,20.55,21.95,23.25,23.85,24.95,25.65,26.85,28.8,30.6,31.8,32.8,33.1,33.45,35.35,36.25
NO.6666,1.8,2.6,4,6.1,8.8,11.9,14.9,15.9,17.2,18,18.7,19.3,19.7,20.7,21.9,22.6,23.6,25.4,26.6,27.6,28.2,28.9,30.2,30.6
NO.6671,2.5,4.3,5.3,8.3,11.1,14.5,17.7,20,20.9,22.1,22.6,23.1,23.7,24.2,24.7,26,27,28.9,30.4,32.1,32.5,34.2,35.5,36.1
NO.6672,2,3.5,4.8,7,9.6,12.6,14.6,15.4,15.9,16.3,17,17.4,17.9,18.4,19.5,19.7,20.4,21.5,22.6,23.8,24.3,25,25.9,26.4
NO.6673,2.5,4.3,6,8.2,11.8,15,17.9,20.4,21.3,21.9,22.9,23.7,24.4,25.3,26.3,26.6,27.3,28.6,29.6,30.8,31.6,32.6,34,35.1
NO.6674,2.4,3.2,5.7,8.9,10.6,14.7,18.2,19.6,20.7,21.7,22.6,23.2,23.6,25.1,25.7,26.8,27.6,29.1,30.7,31.7,32.3,33,33.9,34.4
NO.6676,5,7.5,11.6,14.9,17.1,18.3,20,21.3,23.8,24.6,25.6,25.9,26.4,27.5,28.8,29.2,29.9,31.1,32.2,33.1,33.7,34.3,34.9,35.5
NO.6677,1.3,2,2.5,3.6,5.8,8.7,10.6,12.3,13.9,14.5,15,15.1,15.4,15.6,15.7,16.2,17.1,17.8,18.5,19.3,19.6,20.1,20.5,20.8
NO.6680,2.8,4.9,8.2,11.8,15.3,18.6,21.1,22,23.4,24.3,24.8,25.3,25.6,26.4,27.3,27.8,28.4,29.6,30.7,31.5,32,32.6,33.4,33.9
NO.6681,2.4,4.3,6,8.6,11.9,15.3,18,20.4,21.3,22.4,22.8,23.3,23.9,24.4,25.2,25.8,26.3,27.4,28.6,29.8,30.6,31.3,31.9,32.5
NO.6682,2.4,3.2,4.1,5.5,7.4,9,12.4,15.5,17.1,18.6,20.9,21.6,22,22.3,22.8,23.3,23.6,24.4,25.1,25.7,26,26.5,26.8,27.2
NO.6683,4.8,6.4,7.3,8.5,9.9,12,14.2,16.6,18.1,19.8,21.9,24,24.6,25.2,25.6,26.1,27,28,28.7,29,29.3,29.7,30.5,31
NO.6684,3.7,5.2,8.8,11.2,13.2,18,21.9,24.7,25.6,26.5,26.9,27.2,27.5,28.1,29.2,30.2,30.5,32.1,33.4,34.8,35.8,36.8,38.1,39
NO.6685,3.2,4.3,6.2,10.2,14.1,18.1,21.5,24.3,25.1,26.2,26.9,27.4,27.9,28.6,29.5,30,30.5,31.6,33,34.3,35,35.9,36.9,37.7
NO.6686,2.6,5.3,7.6,11.4,15.1,16.9,18.7,20.9,22.9,23.4,24.1,24.6,25.1,25.7,26.7,27.1,27.6,28.7,29.9,31,31.6,32.4,33.4,34.1
NO.6687,2.7,4.5,5.8,9.4,13.1,16.7,19.6,22.6,23.5,24.1,24.3,24.5,24.8,25.1,25.4,26,26.7,27.9,29.2,30.2,30.6,31.6,32.4,32.9
NO.6688,2.6,4,5.2,8.1,12,15.2,18.1,19.8,20.3,20.9,21.3,21.5,21.8,22.1,22.6,23.3,23.6,24.4,25.3,26.1,26.4,27.1,27.8,28.4
NO.6691,2.1,3.9,5.5,7,8.3,10.3,12.1,14.8,15.8,19.2,21.9,22.7,23.4,23.6,23.8,24.4,24.9,26,27.3,28.1,28.6,29.4,30.2,30.9
NO.6693,4.1,5.7,6.7,7.4,9.6,14.3,18.6,22.6,25.4,26.5,27.4,28.2,28.8,29.5,30.2,31.1,32.8,34.3,35.3,35.8,36.2,37.2,38.4,38.9
NO.6694,1.5,2.5,6,9.6,12.7,16,18.3,18.9,19.7,19.9,20.3,20.4,20.6,21.1,21.8,22.1,22.5,23.9,24.9,25.8,26.2,26.9,27.8,28.4
NO.6695,7.3,12.1,17.6,20.7,21.2,21.7,23.3,24,24.5,24.8,25,25.6,26.5,26.9,28.2,29.2,29.7,30.7,30.9,31.5,32.2,33.4,33.8,34.1
NO.6697,2.9,3.5,4.3,5.6,7.6,9.9,13.5,14.9,15.6,16.1,16.6,16.8,17.2,17.9,18.7,18.9,19.6,21.3,23.1,24.6,25.1,26.3,27.9,28.8
NO.6699,0.8,2.1,4.1,4.8,6.2,7.8,9.8,11.8,12.5,12.9,13.3,13.6,14,15.3,15.8,16.2,17.9,20.1,21.3,21.9,22.8,23.6,24.2,24.6
NO.69,1.9,2.9,5.4,8.3,11.2,13,14.8,15.8,16.8,17.6,18.9,19.5,20.2,20.4,21.3,22.6,24.2,25.2,26.1,26.9,27.2,27.5,28.6,29.3
